About how long have you been receiving information or resources from community veteran service providers?,Active military members/veterans can thrive in my community:To what extent do you disagree or agree with the following statements:,Approximately how much was your household annual income for the previous year?Â ,Approximately what is your credit score?,Are highly responsive:To what extent do you disagree or agree with the following statements regardingÂ veteran serving organizations within your community?,BMI,Community is involved with veterans?,Do you consider your current job a career?,FactorAnalysis0,FactorAnalysis0@FactorAnalysis0,FactorAnalysis1,FactorAnalysis1@FactorAnalysis0,FactorAnalysis1@FactorAnalysis14,FactorAnalysis1@FactorAnalysis4,FactorAnalysis3,FactorAnalysis3@FactorAnalysis1,Has Community Opportunities?,Has Dependable Support?,Has empowered me:To what extent do you disagree or agree with the following statements regardingÂ veteran serving organizations within your community?,Has helped me feel more fulfilled in my daily life:To what extent do you disagree or agree with the following statements regardingÂ veteran serving organizations within your community?,Has reliable transportation?,Have assisted me with filing healthcare/benefits claims:To what extent do you disagree or agree with the following statements regardingÂ veteran serving organizations within your community?,Have connected me to other veterans:To what extent do you disagree or agree with the following statements regardingÂ veteran serving organizations within your community?,Have connected my family/caregiver to other active military/veteran family members or their caregivers:To what extent do you disagree or agree with the following statements regardingÂ veteran serving organizations within your community?,Have improved my community's understanding of active military/veterans issues:To what extent do you disagree or agree with the following statements regardingÂ veteran serving organizations within your community?,How many are dependents?,How often do you participate in spiritual or religious practices? Â ,How would you rate your level of satisfaction with the education benefits and programs?: Rate the resources you may have received from VA or a community-based program:,I am able to adapt when changes occur:Please indicate how frequently you find each statement below to be truthful to you:,I have the resources I need for my care:To what extent do you disagree or agree with the following statements:,"I tend to bounce back after illness, injury, or other hardships:Please indicate how frequently you find each statement below to be truthful to you:",Number of Deployments:,Organizations in my community provide active military/veterans with the services they need:To what extent do you disagree or agree with the following statements:,"Overall, how satisfied are you withÂ your community's ability to provide information and resources? Please use the scale below to indicate your level of satisfaction.",Owns a car?,Seeking Value,There are opportunities for my family/caregiver  to connect with fellow military/veteran families/caregivers:To what extent do you disagree or agree with the following statements:,There is a strong network of support for active military/veterans in my community:To what extent do you disagree or agree with the following statements:,Veteran serving organizations care deeply about my well being?,"You mentioned earlier you were seeking access to better employment or obtaining employment, how long have you been activelyÂ seekingÂ employment?",Hope Scale Score
2.0,2.0,4.0,2.2,1.0,42.958056220987665,True,1.0,-0.16144322251627136,0.026063914096438306,0.9013445572835455,1.079476690847394,-0.37221458870623547,-0.9181831946181699,-0.7473985620244213,0.8228182043170172,True,False,1.0,1.0,False,2.0,2.0,2.0,1.0,3.0,2.2,1.0,3.0,1.0,1.0,27.0,2.0,2.0,False,9.0,2.0,2.0,False,0.0,33.0
3.0,1.0,4.0,2.8,1.0,24.274530434725754,False,1.0,-0.5563155927667761,0.3094870387554495,2.0012033486052325,-1.4520365613654012,-2.399077202017536,-3.0859863177154634,0.2443733111692787,0.7470388408925606,True,False,1.0,1.0,False,0.0,2.0,0.0,1.0,5.0,1.6,0.0,1.0,1.0,2.0,95.6,2.0,3.0,False,16.0,0.0,0.0,False,2.0,18.0
1.0,2.4,4.0,2.6,2.0,59.77979844666667,True,1.0,0.21404593544336695,0.04581566247982601,-0.36623570249372533,1.0362932310724366,-0.5230360850784059,-0.033916853059655125,0.3566168271490684,0.7341716848604136,True,True,1.0,1.0,True,3.0,3.0,1.0,3.0,4.0,2.6,1.0,2.0,3.0,2.0,2.6,2.0,2.0,True,9.6,2.0,2.0,True,0.6,31.0
2.8,3.0,3.8,0.0,2.4,67.04172897967128,True,1.0,0.07492442159999915,0.005613668952094419,-0.6009710611871576,1.0329752854249894,0.36593484429472867,-0.5150467356682318,0.190447193697121,0.7527877987048421,True,True,2.4,2.0,True,2.6,2.6,2.6,2.4,0.0,2.8,2.0,3.0,3.0,3.0,3.0,3.0,3.0,True,12.2,2.2,3.0,True,1.2,58.0
2.0,3.0,4.0,1.0,3.0,70.0,False,1.0,-0.16231909540180142,0.02634748873205911,-0.7600669524164916,1.0310512912662828,-0.9415519279075991,0.6021869844347127,0.8599601508543729,0.655616674443208,True,True,3.0,2.0,True,2.0,3.0,2.0,3.0,2.0,2.2,2.0,4.0,2.0,2.0,2.0,2.0,3.0,True,10.0,2.0,3.0,True,1.0,52.0
4.0,1.0,4.0,2.6,3.0,54.398445914478955,True,1.0,0.9218436429720028,0.8497957020878935,-0.8676478799658712,1.0298726927802822,0.4843338236720558,0.07620051132750294,-0.11763830270724993,0.7811970942358797,True,True,2.0,2.0,True,1.0,2.0,2.2,3.0,0.0,2.0,2.0,1.0,2.0,2.0,5.6,3.0,2.0,True,5.0,3.0,3.0,True,1.0,36.0
1.0,3.0,2.8,3.0,3.0,54.1772038948151,True,1.0,-1.2152752050848024,1.4768938240939085,-1.4022313647367939,1.0251324434898317,0.9533783514967589,-2.5387924623919953,1.3481292882772469,0.5172636483453,True,True,3.0,3.0,True,3.0,3.0,3.0,3.0,1.6,2.0,2.0,4.0,3.0,4.0,121.2,3.0,3.0,True,23.0,3.0,3.0,True,0.0,58.0
4.0,2.0,5.0,4.0,2.0,70.0,False,1.0,1.221288653765314,1.491545975815893,-0.4666354085550111,1.0347957516786621,-0.22458650096457014,-0.021987598764876947,-0.0012394190750977551,0.77126595826088,True,True,2.2,1.8,True,1.8,2.6,2.0,2.2,0.0,3.2,2.0,4.0,2.0,3.0,2.6,2.0,2.0,True,3.4,2.6,2.6,True,0.4,60.0
1.0,2.0,5.0,4.0,3.0,35.81704828579815,True,1.0,-0.525846460308484,0.2765144998189621,-1.1053477875461926,1.027561271086152,1.341952309508486,0.482621958150167,0.6317744642735903,0.6963020722583458,True,True,2.0,2.0,True,2.0,2.0,3.0,3.0,1.0,2.4,1.0,2.0,2.0,3.0,21.8,3.0,3.0,True,13.0,3.0,2.0,True,1.0,45.0
1.0,2.0,3.0,3.0,3.0,59.07418104162525,True,1.0,-1.212452268341145,1.4700405030055876,-0.636815913371587,1.0325212815440106,-0.12585773382822793,0.5046230531977103,-0.3141355848426763,0.7961391286723483,True,True,3.0,2.0,False,3.0,3.0,3.0,3.0,5.0,2.6,2.0,3.0,3.0,0.0,3.0,3.0,4.0,False,21.0,3.0,2.0,True,3.0,60.0
