Report for Annual Survey 2019 - Aggregate|Unnamed: 1|Unnamed: 2|Unnamed: 3|Unnamed: 4|Unnamed: 5|Unnamed: 6|Unnamed: 7|Unnamed: 8|Unnamed: 9|Unnamed: 10|Unnamed: 11|Unnamed: 12|Unnamed: 13|Unnamed: 14|Unnamed: 15|Unnamed: 16
Annual Survey 2019 - Aggregate||||||||||||||||
||||||||||||||||
||||||||||||||||
Response Statistics||||||||||||||||
 |Count |Percent ||||||||||||||
Complete |1,622 |1||||||||||||||
Partial |0|0||||||||||||||
Disqualified |0|0||||||||||||||
Totals |1,622 | ||||||||||||||
||||||||||||||||
||||||||||||||||
1.Have you ever received information or assistance from <Community>?||||||||||||||||
Value |Percent |Count ||||||||||||||
Yes |0.722|1,065 ||||||||||||||
No |0.278|411||||||||||||||
 |Totals |1,476 ||||||||||||||
||||||||||||||||
||||||||||||||||
2.Are you, or were you ever, an active member of the military or member of the National Guard or Reserve?||||||||||||||||
Value |Percent |Count ||||||||||||||
Yes |0.873|1,416 ||||||||||||||
No - I am a military family member |0.087|141||||||||||||||
No- I am a military caregiver (Not a family member) |0.004|6||||||||||||||
No - I have not served in the military nor am I a military family member/caregiver |0.036|59||||||||||||||
 |Totals |1,622 ||||||||||||||
||||||||||||||||
||||||||||||||||
3.What is your gender?||||||||||||||||
Value |Percent |Count ||||||||||||||
Male |0.693|1,124 ||||||||||||||
Female |0.306|497||||||||||||||
Other |0.001|1||||||||||||||
 |Totals |1,622 ||||||||||||||
||||||||||||||||
||||||||||||||||
4.Service era (Select all that apply)||||||||||||||||
Value |Percent |Count ||||||||||||||
Post-9/11 era (September 11, 2001 - Present) |0.585|828||||||||||||||
Persian Gulf era (August 1991 - September 2001) |0.416|589||||||||||||||
Post-Vietnam era (May 1975 - July 1991) |0.307|435||||||||||||||
Vietnam era (August 1964 - April 1975) |0.171|242||||||||||||||
Between Korea and Vietnam era (February 1955 - July 1964) |0.011|16||||||||||||||
Korean War era (June 1950 - January 1955) |0.004|6||||||||||||||
WWII era (September 1940 - July 1947) |0.001|1||||||||||||||
||||||||||||||||
||||||||||||||||
5.Branch of service  ||||||||||||||||
Value |Percent |Count ||||||||||||||
US Army |0.489|693||||||||||||||
US Marines |0.143|202||||||||||||||
US Navy |0.176|249||||||||||||||
US Air Force |0.184|260||||||||||||||
US Coast Guard |0.008|12||||||||||||||
 |Totals |1,416 ||||||||||||||
||||||||||||||||
||||||||||||||||
6.Service status (Most recent or current status) ||||||||||||||||
Value |Percent |Count ||||||||||||||
Active Duty |0.1|142||||||||||||||
Reserve |0.073|103||||||||||||||
