Data Description:|Unnamed: 1
Response ID|Each respondent has a unique response ID per survey.  You will see repeat response IDs because we are combining surveys from multiple communities in this aggregate report.
Time Started|This is the day and time the respondent started the survey.
Date Submitted|This is the day and time the respondent submitted the survey.
Status|A status is marked complete after the respondent completes the attestation question. 
Language|This is the language selected for the survey.  English is the only available language at this time. 
Referer|This is the link that sent the respondent to our survey. 
SessionID|This is unique to ever single respondent regardless of which community survey they completed. 
Have you ever received information or assistance from <Community Integration Organization>?|"""Yes"" or ""No"""
Are you, or were you ever, an active member of the military or member of the National Guard or Reserve?|"""Yes"", ""No - I am a military family member"", ""No- I am a military caregiver (Not a family member)"", or ""No - I have not served in the military nor am I a military family member/caregiver""

"
Type of Individual|"""Military/Veteran"", ""Community Member"", or ""Caregiver/Family Member""

"
What is your gender?|"Gender is ""Male"", ""Female"", or ""Other"""
Post-9/11 era (September 11, 2001 - Present):Service era (Select all that apply)|Served in Post-9/11 era
Persian Gulf era (August 1991 - September 2001):Service era (Select all that apply)|Served in Persian Gulf era
Post-Vietnam era (May 1975 - July 1991):Service era (Select all that apply)|Served in Post-Vietnam era
Vietnam era (August 1964 - April 1975):Service era (Select all that apply)|Served in Vietnam era
Between Korea and Vietnam era (February 1955 - July 1964):Service era (Select all that apply)|Served between Korea and Vietnam era
Korean War era (June 1950 - January 1955):Service era (Select all that apply)|Served in Korean war era
Between WWII and Korean War era (August 1947- May 1950):Service era (Select all that apply)|Served between WWII and Korean War era
WWII era (September 1940 - July 1947):Service era (Select all that apply)|Served in WWII era
Pre-9/11 Vs. Post-9/11|"""Post-9/11"" if served in Post-9/11 era; ""Pre-9/11"" if served in Persian Gulf era or earlier and did not serve in Post-9/11 era "
Branch of service|"Branch of Service is ""US Army"", ""US Marines"", ""US Navy"", ""US Air Force"", or ""US Coast Guard"""
Service status|"Service status is ""Active Duty"", ""Reserve"", ""National Guard"", ""Retired"", Medically Discharged"", or ""Discharged"""
Currently Serving Vs. Formerly Served|"""Currently Serving"" if Active Duty, Reserve, or National Guard; ""Formerly Served"" if Retired, Medically Discharged or Discharged"
Discharge status|"Discharge status is ""Honorable"", ""General"", ""Other than Honorable"", or ""Bad Conduct"""
What year did you begin your time in the service? (Ex: 1985)|Year started serving in the military
What year did your status become retired/discharged? (Ex: 2006)|Year ended service in the military
Number of Years Served|# of years served in the military to date
Number of Years Out of Service|# of years out of the military to date
Access to education benefits (e.g., Montgomery, Post-9/11, GI Bill) - for my family  or myself:Please read the following statements and indicate which answer best describes your current status: Seeking - Defined as you seeking information or resources (Select all that apply to you) |"""Seeking"" or ""Not Seeking"""
Access to legal assistance:Please read the following statements and indicate which answer best describes your current status: Seeking - Defined as you seeking information or resources (Select all that apply to you) |"""Seeking"" or ""Not Seeking"""
Access to obtaining employment:Please read the following statements and indicate which answer best describes your current status: Seeking - Defined as you seeking information or resources (Select all that apply to you) |"""Seeking"" or ""Not Seeking"""
Access to better employment conditions (with better pay, benefits, etc.):Please read the following statements and indicate which answer best describes your current status: Seeking - Defined as you seeking information or resources (Select all that apply to you) |"""Seeking"" or ""Not Seeking"""
